customer_id;name;gender;DOB;Age;job_title;job_industry_category;wealth_segment
94;Wallache Simchenko;Male;07/08/1974;49;Civil Engineer;Manufacturing;Mass Customer
95;Nomi Mallinder;Female;25/12/1960;62;Software Engineer III;Manufacturing;Affluent Customer
96;Heath Olford;Male;31/08/1968;55;Nuclear Power Engineer;Manufacturing;Mass Customer
97;Arne Corain;Male;27/07/1979;44;Community Outreach Specialist;Financial Services;Mass Customer
98;Allianora Babalola;Female;17/03/1956;67;Safety Technician IV;Health;Mass Customer
99;Reggie Mulliner;Male;13/06/1998;25;VP Accounting;Financial Services;Mass Customer
100;Tripp Steed;Male;11/05/1968;55;General Manager;Financial Services;Mass Customer
101;Goran Kwietek;Male;29/12/1975;47;Nurse Practicioner;Manufacturing;High Net Worth
102;Langsdon Tranfield;Male;27/11/1956;66;Quality Control Specialist;Manufacturing;Affluent Customer
103;Ethyl Runham;Female;21/04/1997;26;Product Engineer;Financial Services;Affluent Customer
104;Odille Panketh;Female;06/06/1978;45;Automation Specialist II;Health;Mass Customer
105;Maribeth Pristnor;Female;17/09/2001;22;Recruiting Manager;Manufacturing;Mass Customer
106;Glyn ;Male;03/07/1966;57;Software Test Engineer III;Health;High Net Worth
107;Pris Stallebrass;Female;01/07/1990;33;Nurse Practicioner;Financial Services;Mass Customer
108;Kayle Mingaud;Female;14/03/1994;29;NaN;n/a;High Net Worth
109;Cody Blabey;Male;11/12/1978;44;Marketing Assistant;n/a;Affluent Customer
110;Sascha St. Quintin;Male;31/07/2000;23;NaN;Financial Services;Affluent Customer
111;Cele Evason;Female;29/08/1993;30;Analyst Programmer;n/a;Mass Customer
112;Shena Parren;Female;12/08/1975;48;Marketing Manager;Retail;High Net Worth
113;Gage Nickless;Male;06/05/1956;67;Staff Scientist;n/a;Mass Customer
114;Sunny Swindells;Female;23/10/1985;37;Teacher;Entertainment;Affluent Customer
115;Alberik Mereweather;Male;21/12/1981;41;Account Executive;Health;Mass Customer
116;Scottie Swiffen;Male;05/02/1999;24;Assistant Professor;Manufacturing;Affluent Customer
117;Nance Suttling;Female;23/02/1982;41;Marketing Manager;Manufacturing;Mass Customer
118;Prentice Pearmain;Male;12/11/1959;63;Budget/Accounting Analyst IV;n/a;High Net Worth
119;Willey Chastanet;Male;04/12/1981;41;Associate Professor;n/a;High Net Worth
120;Sloan Wagg;Male;02/09/1978;45;Legal Assistant;Financial Services;High Net Worth
121;Myles Pauncefort;Male;02/10/1957;66;Graphic Designer;Manufacturing;Mass Customer
122;Colver Itter;Male;19/04/1979;44;Quality Control Specialist;Financial Services;Mass Customer
123;Almeta Kalinsky;Female;03/12/1988;34;Analyst Programmer;Financial Services;High Net Worth
124;Kath Cunney;Female;03/05/1995;28;Administrative Assistant II;Health;High Net Worth
125;Darrelle Antoniewski;Female;17/03/1960;63;Computer Systems Analyst II;Property;Mass Customer
126;Norman Cliff;Male;15/10/1992;31;Administrative Officer;Health;Mass Customer
127;Merrili Whitear;Female;03/12/1974;48;Compensation Analyst;Financial Services;Mass Customer
128;Isidro Cypler;Male;17/07/1977;46;Systems Administrator III;Property;Mass Customer
129;Weidar Silkstone;Male;20/07/1985;38;Financial Advisor;Financial Services;High Net Worth
130;Raddy Delete;Male;18/07/1997;26;Chemical Engineer;Manufacturing;Mass Customer
131;Jana Renyard;Female;16/10/1964;59;Administrative Officer;Retail;High Net Worth
132;Celesta Willavoys;Female;07/07/1963;60;Web Designer I;Manufacturing;Mass Customer
133;Eldridge Fiddeman;Male;13/06/1977;46;VP Accounting;Financial Services;Mass Customer
134;Merna McCulloch;Female;01/08/1997;26;Legal Assistant;Telecommunications;Affluent Customer
135;Rosalia Sigart;Female;18/01/1975;48;Internal Auditor;IT;Mass Customer
136;Mel Bennet;Male;26/05/1973;50;Senior Developer;Manufacturing;High Net Worth
137;Vaughn Artin;Male;21/11/1987;35;Office Assistant II;Property;High Net Worth
138;Onofredo Franc;Male;28/04/1985;38;Recruiter;Financial Services;Affluent Customer
139;Gar ;Male;28/07/1964;59;Operator;Telecommunications;Affluent Customer
140;Morrie Flaxon;Male;20/05/1994;29;Programmer Analyst III;Manufacturing;Mass Customer
141;Townsend Trobe;Male;25/06/1954;69;Teacher;Financial Services;High Net Worth
142;Bentley Fortesquieu;Male;07/08/1967;56;Quality Engineer;Health;Affluent Customer
143;Kendall Figg;Male;01/09/1957;66;Operator;Argiculture;Mass Customer
144;Jory Barrabeale;U;NaN;0;Environmental Tech;IT;Mass Customer
145;Filippo Ferrara;Male;21/07/1997;26;Account Executive;Financial Services;Mass Customer
146;Ricoriki Matlock;Male;08/04/1985;38;Quality Control Specialist;Manufacturing;Mass Customer
147;Rea Pattrick;Female;06/12/1973;49;Analog Circuit Design manager;Health;Mass Customer
148;Jaquith Maffey;Female;08/05/1981;42;Programmer Analyst III;n/a;Mass Customer
149;Drucy Kausche;Female;31/01/1995;28;Research Nurse;Health;Mass Customer
150;Bradly Crosse;Male;23/08/1983;40;Cost Accountant;Financial Services;Affluent Customer
151;Donnie Brimson;Male;31/01/1965;58;Marketing Manager;Manufacturing;Mass Customer
152;Stephana Cardew;Female;03/03/1981;42;Compensation Analyst;Financial Services;Mass Customer
153;Lorilyn Walshe;Female;28/07/1977;46;Assistant Media Planner;Entertainment;Mass Customer
154;Faydra Dulieu;Female;13/02/1958;65;Junior Executive;n/a;Mass Customer
155;Orran Bogges;Male;28/12/1985;37;Quality Engineer;Manufacturing;Mass Customer
156;Shayla Rimmington;Female;09/09/1979;44;Cost Accountant;Financial Services;Mass Customer
157;Chad Houtby;Male;23/11/1974;48;Financial Advisor;Financial Services;Affluent Customer
158;Hamlin Odams;Male;03/09/1984;39;Internal Auditor;n/a;Affluent Customer
159;Arin Matskevich;Male;12/05/1987;36;Research Nurse;Health;Affluent Customer
160;Wake Durning;Male;15/07/1964;59;Registered Nurse;Health;Mass Customer
161;Tadd Bloss;Male;21/01/1976;47;NaN;n/a;Mass Customer
162;Port Acuna;Male;12/08/1979;44;Nurse Practicioner;IT;Mass Customer
163;Kessia Helder;Female;06/09/1976;47;Librarian;Entertainment;High Net Worth
164;Aarika Van Vuuren;Female;07/08/1999;24;Senior Editor;Retail;Affluent Customer
165;Aldon Roelofs;Male;25/03/1984;39;Administrative Officer;Argiculture;Mass Customer
166;Elston Oleszczak;Male;12/06/1955;68;Structural Analysis Engineer;Manufacturing;Affluent Customer
167;Nathalie Tideswell;Female;27/10/1969;53;NaN;Health;High Net Worth
168;Reggie Broggetti;U;NaN;0;General Manager;IT;Affluent Customer
169;Alfy Bruhnke;Male;19/10/1957;66;Data Coordiator;Telecommunications;High Net Worth
170;Jammal Gever;Male;02/06/1975;48;Pharmacist;Health;High Net Worth
171;Halli Davidoff;Female;04/12/1970;52;Assistant Manager;Manufacturing;Mass Customer
172;Hilton Carney;Male;12/09/1988;35;Editor;Manufacturing;Affluent Customer
173;Ebba Hanselmann;Female;02/01/1997;26;General Manager;Health;Affluent Customer
174;Catie Tosspell;Female;26/11/1989;33;Food Chemist;Health;Mass Customer
175;Templeton Hambrook;Male;28/11/1975;47;Quality Engineer;Manufacturing;Affluent Customer
176;Angelo Clayal;Male;13/04/1992;31;Accountant I;Property;Mass Customer
177;Ondrea Pablos;Female;09/11/1989;33;Professor;Financial Services;High Net Worth
178;Matthieu Bertelmot;Male;03/04/1967;56;NaN;n/a;Affluent Customer
179;Esteban Sewill;Male;11/05/1966;57;Environmental Tech;Manufacturing;High Net Worth
180;Trisha Neasham;Female;17/09/1971;52;Web Designer III;Argiculture;Affluent Customer
181;Pavla Braunle;Female;21/11/1982;40;Senior Editor;Manufacturing;Mass Customer
182;Lydon Dahlman;Male;20/11/1992;30;Sales Associate;Financial Services;Affluent Customer
183;Dannie Hissie;Female;05/08/1997;26;Geologist III;Retail;Affluent Customer
184;Nappie Paolo;Male;13/12/1971;51;Marketing Manager;Manufacturing;High Net Worth
185;Crosby Walcot;Male;13/12/1979;43;NaN;Property;Mass Customer
186;Mireielle Jeppe;Female;06/05/1974;49;Software Test Engineer I;Financial Services;Mass Customer
187;Pincas Ather;Male;28/01/1954;69;Structural Engineer;n/a;Mass Customer
188;Audry Seine;Female;22/06/1975;48;Safety Technician II;Property;High Net Worth
189;Umberto Torricella;Male;19/07/1981;42;Safety Technician I;Financial Services;Affluent Customer
190;Hayley Girardengo;Female;04/02/1979;44;Registered Nurse;Health;Affluent Customer
191;Christopher Heining;Male;27/04/1960;63;Help Desk Operator;n/a;Affluent Customer
192;Goldi Osler;Female;19/11/1978;44;Junior Executive;Health;Mass Customer
193;Foss Hardes;Male;22/07/1964;59;Recruiting Manager;Manufacturing;Mass Customer
194;Ursala Ferrai;Female;16/11/1974;48;Web Developer III;Financial Services;Affluent Customer
195;Talyah Rylatt;Female;14/11/1958;64;Project Manager;Manufacturing;Mass Customer
196;Swen Odhams;Male;22/02/1966;57;Programmer Analyst II;Manufacturing;High Net Worth
197;Avis ;Female;27/01/1977;46;NaN;n/a;High Net Worth
198;Vanya Gumb;Female;29/11/1981;41;Assistant Media Planner;Entertainment;Mass Customer
199;Verla Alven;Female;13/02/1978;45;Junior Executive;Health;Mass Customer
200;Hube Weald;Male;04/02/1957;66;Physical Therapy Assistant;Property;Affluent Customer
201;Salem Huie;Male;20/04/1966;57;Design Engineer;Manufacturing;Mass Customer
202;Audie Pillinger;Female;24/06/1963;60;Librarian;Entertainment;Affluent Customer
203;Donovan Conry;Male;13/01/1964;59;Senior Quality Engineer;Argiculture;Mass Customer
204;Thorny Hackworth;Male;01/10/1976;47;Editor;Financial Services;Mass Customer
205;Rolfe Kellard;Male;01/12/1958;64;Administrative Assistant II;Financial Services;Mass Customer
206;Mari Chevolleau;Female;19/07/1954;69;Statistician I;n/a;Mass Customer
207;Adena Whyman;Female;10/08/1994;29;NaN;n/a;Mass Customer
208;Rutter Excell;Male;31/10/1994;28;Office Assistant III;Property;High Net Worth
209;Udall Bellard;Male;28/08/1957;66;Analog Circuit Design manager;n/a;Affluent Customer
210;Albrecht Thomasson;Male;18/11/1963;59;Assistant Manager;Property;Mass Customer
211;Beitris ;Female;04/03/1974;49;VP Marketing;Manufacturing;Mass Customer
212;Nanice Ellse;Female;19/11/2001;21;Desktop Support Technician;IT;Affluent Customer
213;Lockwood Exroll;Male;14/05/1996;27;Actuary;Financial Services;High Net Worth
214;Jeramie Cellier;Male;29/11/1957;65;Food Chemist;Health;Mass Customer
215;Debera Foxworthy;Female;24/06/1974;49;Assistant Professor;Retail;High Net Worth
216;Cinderella Parcall;Female;12/01/1995;28;Quality Engineer;Financial Services;High Net Worth
217;Jeralee Quartly;Female;09/12/1979;43;NaN;Manufacturing;High Net Worth
218;Stefa Dunnan;Female;06/08/1993;30;Administrative Officer;Property;High Net Worth
219;Markus Mughal;Male;25/11/1964;58;Database Administrator III;Health;Mass Customer
220;Jeniffer Apark;Female;10/05/1954;69;Electrical Engineer;Manufacturing;High Net Worth
221;Mara Bloore;Female;10/03/1980;43;Tax Accountant;Manufacturing;Mass Customer
222;Nev Larive;Male;03/09/1978;45;Clinical Specialist;Health;Mass Customer
223;Ossie Meaton;Male;26/11/1983;39;VP Sales;n/a;Affluent Customer
224;Morgun Girvan;Male;03/12/1967;55;Compensation Analyst;Financial Services;Affluent Customer
225;Brittaney Pring;Female;11/03/1977;46;Pharmacist;Health;Affluent Customer
226;Bondie Letty;Male;11/11/1977;45;Database Administrator IV;Manufacturing;Mass Customer
227;Wendall McKeand;Male;14/08/1973;50;Accountant I;Entertainment;Mass Customer
228;Lucia Pickervance;Female;25/05/1986;37;Systems Administrator II;Manufacturing;High Net Worth
229;Vaughn Lambis;Male;06/03/1966;57;NaN;Property;High Net Worth
230;Maegan Scyone;Female;24/06/1954;69;Internal Auditor;Property;High Net Worth
231;Basile Winsor;Male;05/08/1995;28;Design Engineer;Financial Services;Mass Customer
232;Zaria Koeppke;Female;11/11/1987;35;Professor;Retail;Mass Customer
233;Art Barwell;Male;08/08/1986;37;Environmental Tech;Property;Mass Customer
234;Mead Alpes;Female;12/08/1969;54;Chief Design Engineer;Retail;High Net Worth
235;Leona Phateplace;Female;26/12/1976;46;Social Worker;Health;Mass Customer
236;Tybalt Gillingwater;Male;30/10/1954;69;Research Nurse;Health;Affluent Customer
237;Reginald Dartan;Male;07/03/1974;49;Account Coordinator;Property;High Net Worth
238;Max Bilborough;Male;04/02/1984;39;Programmer III;n/a;Mass Customer
239;Wells Pressman;Male;13/12/1992;30;Registered Nurse;Health;Affluent Customer
240;Gavin Fawks;Male;28/07/1989;34;Administrative Assistant III;IT;High Net Worth
241;Quillan Duigan;Male;09/05/1987;36;Quality Engineer;Entertainment;Mass Customer
242;Taite Droghan;Male;20/03/1992;31;Nurse;Property;Affluent Customer
243;Barbara Croxley;Female;02/09/1976;47;Teacher;Manufacturing;High Net Worth
244;Germayne Sperry;Male;25/11/1974;48;NaN;Retail;Affluent Customer
245;Noell Grahlmans;Female;26/09/2001;22;Associate Professor;Financial Services;Affluent Customer
246;Binny Whight;Female;28/02/1991;32;Technical Writer;Manufacturing;High Net Worth
247;Kristal Joysey;Female;06/05/1983;40;Staff Accountant II;Financial Services;High Net Worth
248;Inger Eskell;Female;15/04/1978;45;Clinical Specialist;Health;Affluent Customer
249;D'arcy Slay;Male;13/09/1992;31;Quality Control Specialist;IT;High Net Worth
250;Kristofer ;Male;15/04/1988;35;Legal Assistant;Health;Mass Customer
251;Mala ;Female;24/12/1977;45;VP Sales;Financial Services;Affluent Customer
252;Anthea Ruskin;Female;24/01/1983;40;Account Coordinator;Property;Mass Customer
253;Amalee Choak;Female;11/05/1997;26;Food Chemist;Health;Mass Customer
254;Barbie Rubi;Female;22/09/1961;62;Information Systems Manager;Retail;Mass Customer
255;Keeley Kruger;Female;15/01/1954;69;Desktop Support Technician;IT;Mass Customer
256;Linell Beadle;Female;07/05/1975;48;Director of Sales;Health;High Net Worth
257;Marissa ;Female;08/02/1966;57;Sales Associate;Manufacturing;Affluent Customer
258;Othella Keher;Female;03/05/1992;31;Administrative Officer;Manufacturing;High Net Worth
259;Venita Dymick;Female;22/07/1983;40;Senior Developer;Health;High Net Worth
260;Farand Marriner;Female;30/08/1979;44;Senior Quality Engineer;Health;High Net Worth
261;Marve Pryn;Male;15/10/1977;46;Structural Engineer;n/a;Mass Customer
262;Cordie Petrelli;Male;23/12/1977;45;NaN;Health;High Net Worth
263;Tonia Leigh;Female;19/11/1985;37;Dental Hygienist;Health;High Net Worth
264;Jedd Spiby;Male;07/12/1977;45;Technical Writer;Health;Mass Customer
265;Pennie Stoile;Male;05/10/1965;58;Sales Representative;Retail;High Net Worth
266;Lelia Garatty;Female;19/07/1989;34;Account Executive;Retail;Affluent Customer
267;Edgar Buckler;U;NaN;0;NaN;IT;High Net Worth
268;Kacie Kidston;Female;18/10/1978;45;Chemical Engineer;Manufacturing;Mass Customer
269;Zacherie Grindley;Male;19/09/1954;69;Nurse Practicioner;Property;Mass Customer
270;Auberta Roundtree;Female;10/12/1970;52;Budget/Accounting Analyst III;n/a;Mass Customer
271;Doll Burtwell;Female;13/02/1991;32;Financial Advisor;Financial Services;Mass Customer
272;Arlie Crean;Female;06/06/1987;36;Product Engineer;Retail;Mass Customer
273;Nevile Abraham;Male;22/04/1963;60;Computer Systems Analyst IV;n/a;Mass Customer
274;Tessi Hesse;Female;15/09/1976;47;Social Worker;Health;Mass Customer
275;Dud ;Male;27/07/1955;68;VP Sales;Health;High Net Worth
276;Goldi Dwine;Female;25/03/1990;33;NaN;Financial Services;Mass Customer
277;Jehanna Alvarado;Female;19/02/1956;67;VP Product Management;n/a;High Net Worth
278;Sydney Georger;Male;30/07/1997;26;Executive Secretary;n/a;Affluent Customer
279;Tamera Hinckes;Female;09/09/1981;42;Web Designer I;Manufacturing;Mass Customer
280;Welch MacAllaster;Male;22/03/1995;28;Geologist I;n/a;Affluent Customer
281;Jeanette Sizzey;Female;27/12/1972;50;Cost Accountant;Financial Services;High Net Worth
282;Lauren Curcher;Male;27/10/1989;33;VP Quality Control;Argiculture;High Net Worth
283;Sari Noye;Female;04/02/1991;32;Assistant Manager;Retail;Mass Customer
284;Seth Moorman;Male;11/04/1986;37;Financial Analyst;Financial Services;High Net Worth
285;Julee Janovsky;Female;19/11/1977;45;Community Outreach Specialist;Manufacturing;Mass Customer
286;Kiley Canaan;Male;01/08/1989;34;Accounting Assistant II;Manufacturing;Affluent Customer
287;Hannie Wodham;Female;06/05/1985;38;Nuclear Power Engineer;Manufacturing;Affluent Customer
288;Ebenezer Seedman;Male;08/09/1985;38;NaN;Manufacturing;High Net Worth
289;Modestia Lithgow;Female;12/04/1970;53;Clinical Specialist;Health;High Net Worth
290;Giorgio Kevane;U;NaN;0;Senior Sales Associate;IT;Mass Customer
291;Aime Burston;Female;22/10/1971;52;Assistant Media Planner;Entertainment;Mass Customer
292;Gelya Gerant;Female;24/11/1961;61;VP Product Management;n/a;Affluent Customer
293;Virgilio Willcocks;Male;10/12/1989;33;Administrative Assistant III;Manufacturing;Mass Customer
294;Magnum Slowan;Male;01/04/1959;64;Recruiting Manager;n/a;High Net Worth
295;Lena Chape;Female;26/12/1964;58;Database Administrator II;n/a;Mass Customer
296;Marshal Rathbone;Male;19/06/1972;51;NaN;Health;High Net Worth
297;Cecile MacLise;Female;27/04/1959;64;Electrical Engineer;Manufacturing;High Net Worth
298;Maurise Lenglet;Male;15/08/1956;67;Engineer I;Manufacturing;High Net Worth
299;Corabelle Hartnell;Female;15/09/1956;67;Budget/Accounting Analyst I;Financial Services;Mass Customer
300;Malachi Hadcroft;Male;22/06/1956;67;Clinical Specialist;Health;Mass Customer
301;Hildy Bilbrook;Female;10/10/1980;43;Developer IV;Manufacturing;High Net Worth
302;Laurice Colgrave;Female;27/03/1977;46;NaN;Health;Mass Customer
303;Shane Smetoun;Female;15/08/1974;49;Assistant Professor;Argiculture;Mass Customer
304;Paddy Mumbray;Male;27/03/1969;54;VP Marketing;Manufacturing;Mass Customer
305;Cris Chellam;Female;17/03/1974;49;Financial Analyst;Financial Services;Mass Customer
306;Ruy Adanet;Male;02/08/1973;50;Registered Nurse;Health;High Net Worth
307;Ruben Handlin;Male;18/08/1984;39;Clinical Specialist;Health;Affluent Customer
308;Iver Dobsons;Male;09/03/1983;40;Database Administrator I;IT;High Net Worth
309;Maurizia Ligerton;Female;02/10/1974;49;Clinical Specialist;Health;Mass Customer
310;Myranda Clowser;Female;13/02/1985;38;Account Coordinator;Financial Services;Mass Customer
311;Jaimie Halms;Female;16/08/1957;66;Internal Auditor;Health;High Net Worth
312;Garek Prattin;Male;17/03/1958;65;Desktop Support Technician;Financial Services;Affluent Customer
313;Theo McKune;Male;22/12/1987;35;Operator;Manufacturing;Mass Customer
314;Catie Advani;Female;25/08/1962;61;Marketing Assistant;Retail;High Net Worth
315;Lisa Odlin;Female;16/04/1958;65;Chief Design Engineer;Manufacturing;Affluent Customer
316;Genni Larway;Female;01/06/1976;47;Environmental Specialist;Manufacturing;Mass Customer
317;Elicia Dahler;Female;10/02/1974;49;Automation Specialist II;Entertainment;Mass Customer
318;Libbie Castelin;Female;19/05/1969;54;Programmer III;Retail;Affluent Customer
319;Madelle Matteris;Female;11/10/1971;52;NaN;Retail;Mass Customer
320;Aldous Cubin;Male;09/02/1997;26;Registered Nurse;Health;Mass Customer
321;Christean Finnes;Female;15/09/1973;50;Marketing Manager;n/a;Mass Customer
322;De Denington;Female;10/03/1977;46;Research Associate;Financial Services;Mass Customer
323;Celka Goodrich;Female;04/06/1973;50;Senior Developer;Health;Mass Customer
324;Franz Lyptrit;Male;05/08/1986;37;Computer Systems Analyst I;IT;Mass Customer
325;Anthia Ghilardini;Female;26/09/1971;52;Computer Systems Analyst I;Financial Services;Affluent Customer
